tech,col,skin,vso,pso
15,0,0,bd_fur_vs_norm.vso,bd_fur_ps.pso
15,0,1,bd_fur_vs_env.vso,bd_fur_ps.pso
15,1,0,bd_fur_cs_vs_norm.vso,bd_fur_cs_ps.pso
15,1,1,bd_fur_cs_vs_env.vso,bd_fur_cs_ps.pso
16,0,0,bd_fur_vs_norm.vso,bd_fur_ps_nz1.pso
16,0,1,bd_fur_vs_env.vso,bd_fur_ps_nz1.pso
17,0,0,bd_fur_vs_norm.vso,bd_fur_ps_nz2.pso
17,0,1,bd_fur_vs_env.vso,bd_fur_ps_nz2.pso
18,0,0,bd_blur_vs_norm.vso,bd_blur_ps.pso
18,0,1,bd_blur_vs_env.vso,bd_blur_ps.pso
19,0,0,bd_normal_vs_grassland.vso,bd_normal_ps_grassland.pso
19,2,0,bd_shadowmap_vs_wind.vso,bd_shadowmap_ps.pso
19,3,0,bd_normal_vs_grassland.vso,bd_normal_ps_grassland_ref.pso
20,0,0,bd_normal_vs_wind.vso,bd_normal_ps_barrier.pso
20,1,0,bd_normal_cs_vs_wind.vso,bd_normal_cs_ps_barrier.pso
20,2,0,bd_shadowmap_vs_wind.vso,bd_shadowmap_ps.pso
14,0,0,bd_frescowall_vs_norm.vso,bd_frescowall_ps.pso
14,0,1,bd_frescowall_vs_env.vso,bd_frescowall_ps.pso
24,2,0,bd_shadownull_vs_norm.vso,bd_shadowmap_ps.pso
24,2,1,bd_shadownull_vs_env.vso,bd_shadowmap_ps.pso
25,2,0,bd_shadownull_vs_wind.vso,bd_shadowmap_ps.pso
26,0,0,bd_normal_vs_nolight_norm.vso,bd_normal_ps_nolight.pso
26,0,1,bd_normal_vs_nolight_env.vso,bd_normal_ps_nolight.pso
27,0,0,bd_normal_vs_nosdw_norm.vso,bd_normal_ps_nosdw.pso
27,0,1,bd_normal_vs_nosdw_env.vso,bd_normal_ps_nosdw.pso
28,0,0,bd_normal_vs_norm.vso,bd_normal_ps_dir.pso
28,0,1,bd_normal_vs_env.vso,bd_normal_ps_dir.pso
29,0,0,bd_normal_vs_nosdw_norm.vso,bd_normal_ps_nosdw_dir.pso
29,0,1,bd_normal_vs_nosdw_env.vso,bd_normal_ps_nosdw_dir.pso
30,0,0,bd_normal_vs_norm.vso,bd_normal_ps_spot.pso
30,0,1,bd_normal_vs_env.vso,bd_normal_ps_spot.pso
31,0,0,bd_normal_vs_nosdw_norm.vso,bd_normal_ps_nosdw_spot.pso
31,0,1,bd_normal_vs_nosdw_env.vso,bd_normal_ps_nosdw_spot.pso
